title,author,length,User-Agent
Cyrus the Great Makers of History,Jacob Abbott,Length: 7 hrs and 3 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Adventures of Huckleberry Finn,Mark Twain,Length: 9 hrs and 44 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Crown of Gilded Bones,Jennifer L. Armentrout,Length: 25 hrs and 22 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Cloverleigh Farms Collection,Melanie Harlow,Length: 41 hrs and 50 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The 48 Laws of Power,Robert Greene,Length: 9 hrs and 52 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Beyond Anxiety,Martha Beck,Length: 11 hrs and 45 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Heaven's River,Dennis E. Taylor,Length: 16 hrs and 57 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Moretti Men: Devils Thirst,Jill Ramsower,Length: 9 hrs and 12 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Frozen River,Ariel Lawhon,Length: 15 hrs and 5 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The 48 Laws of Power,Robert Greene,Length: 9 hrs and 52 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Beyond Anxiety,Martha Beck,Length: 11 hrs and 45 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Texan Scouts,Joseph A. Altsheler,Length: 8 hrs and 58 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,Length: 6 hrs and 11 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Frozen River,Ariel Lawhon,Length: 15 hrs and 5 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The First and Last Deception,Daniel O'Connor,Length: 15 hrs and 29 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Art of Seduction,Robert Greene,Length: 5 hrs and 9 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Fun Facts Book,Kent Jameson,Length: 3 hrs and 7 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
"Listener's Audio Bible—New International Version, NIV: Complete Bible",Max McLean,Length: 75 hrs and 14 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Rise of the Living Forge 2,Actus,Length: 15 hrs and 40 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Pro Bono,Thomas Perry,Length: 10 hrs and 42 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Rise. Recover. Thrive.,Scott Strode,Length: 8 hrs and 53 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Tea and Empathy,Shanna Swendson,Length: 6 hrs and 16 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Usted se encuentra aquí,Fabián C. Barrio,Length: 9 hrs and 31 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Providence,TurtleMe,Length: 27 hrs and 38 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
Track Her Down,Melinda Leigh,Length: 9 hrs and 57 mins,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
